PROPERTY_ID,ESTIMATED_VALUE,LISTED_PRICE,SOLD_PRICE,STREET_ADDRESS,CITY,STATE,ZIP,stock_price
4111190226408111999,1156227.0,1156227.0,1133102.46,8351 KENTLAND AVE,WEST HILLS,CA,91304,115.6227
-9215308295114719187,1127727.0,1127727.0,1105172.46,8477 FARRALONE AVE,WEST HILLS,CA,91304,112.7727
6557802472859277868,804834.0,804834.0,788737.32,22151 INGOMAR ST,CANOGA PARK,CA,91304,80.4834
-1266847334670540195,2651657.0,2651657.0,2598623.86,9253 ROCKY MESA PL,WEST HILLS,CA,91304,265.1657
2714414837550763623,1320163.0,1320163.0,1293759.74,23300 INGOMAR ST,CANOGA PARK,CA,91304,132.0163
-1869115282578351499,1323265.0,1323265.0,1296799.7,23610 JUSTICE ST,WEST HILLS,CA,91304,132.3265
5607864022516246540,860235.0,860235.0,843030.2999999999,23016 SATICOY ST,CANOGA PARK,CA,91304,86.0235
-992741105080461428,890146.0,890146.0,872343.08,7401 CAPISTRANO AVE,WEST HILLS,CA,91307,89.0146
-8862690596078235217,866834.0,866834.0,849497.32,22309 LEADWELL ST,CANOGA PARK,CA,91303,86.6834
8301762579398914535,811406.0,811406.0,795177.88,22312 LEADWELL ST,CANOGA PARK,CA,91303,81.1406
-1084091314688742513,775561.0,775561.0,760049.78,22241 WYANDOTTE ST,CANOGA PARK,CA,91303,77.5561
1374185482411826227,1079521.0,1079521.0,1057930.58,23507 FRIAR ST,WOODLAND HILLS,CA,91367,107.9521
4462013482116015118,893235.0,893235.0,875370.2999999999,6338 JACKIE AVE,WOODLAND HILLS,CA,91367,89.3235
4060062132695779645,1111314.0,1111314.0,1089087.72,23244 FRIAR ST,WOODLAND HILLS,CA,91367,111.1314
9004054215468564888,1645072.0,1645072.0,1612170.56,6018 FENWOOD AVE,WOODLAND HILLS,CA,91367,164.5072
-1192620038397934329,1030878.0,1030878.0,1010260.44,23032 MOBILE ST,WEST HILLS,CA,91307,103.0878
-3292701340398773392,1275644.0,1275644.0,1250131.1199999999,22548 VICTORY BLVD,WOODLAND HILLS,CA,91367,127.5644
-4613318972378545147,1075938.0,1075938.0,1054419.24,22532 DOLOROSA ST,WOODLAND HILLS,CA,91367,107.5938
5700040541860768932,1236419.0,1236419.0,1211690.6199999999,5607 ROYER AVE,WOODLAND HILLS,CA,91367,123.6419
-2034667434188739404,1050100.0,1050100.0,1029098.0,23635 MARYLEE ST,WOODLAND HILLS,CA,91367,105.01
4518181905105894039,1132346.0,1132346.0,1109699.08,6131 LOCKHURST DR,WOODLAND HILLS,CA,91367,113.2346
-5268904233394897868,1304598.0,1304598.0,1278506.04,5642 RAMARA AVE,WOODLAND HILLS,CA,91367,130.4598
7166459983633904874,2145466.0,2145466.0,2102556.68,23757 CANZONET ST,WOODLAND HILLS,CA,91367,214.5466
3924750237690333403,1513443.0,1513443.0,1483174.14,5453 LOCKHURST DR,WOODLAND HILLS,CA,91367,151.3443
-7160364898417515027,4814179.0,4814179.0,4717895.42,5497 AMBER CIR,CALABASAS,CA,91302,481.4179
-8666871738039085224,1711485.0,1711485.0,1677255.3,6228 WATERTREE CT,AGOURA HILLS,CA,91301,171.1485
-9060839914379621963,1169412.0,1169412.0,1146023.76,26232 HATMOR DR,CALABASAS,CA,91302,116.9412
9048504446514960999,1690607.0,1690607.0,1656794.8599999999,26969 HELMOND DR,CALABASAS,CA,91301,169.0607
1688996896301684584,757482.0,757482.0,742332.36,26322 W PLATA LN,CALABASAS,CA,91302,75.7482
-6817056965724502199,1074301.0,1074301.0,1052814.98,5665 MEADOW VISTA WAY,AGOURA HILLS,CA,91301,107.4301
8174736620118941184,1962867.0,1962867.0,1923609.66,5560 FAIRVIEW PL,AGOURA HILLS,CA,91301,196.2867
-3172963013202612231,1892085.0,1892085.0,1854243.3,5781 GREEN MEADOW DR,AGOURA HILLS,CA,91301,189.2085
-6362118611531340859,1888978.0,1888978.0,1851198.44,5762 HEMPSTEAD DR,AGOURA HILLS,CA,91301,188.8978
-6647630291237709079,3702609.0,3702609.0,3628556.82,31441 GLENBRIDGE RD,WESTLAKE VILLAGE,CA,91361,370.2609
4111782727948262330,1655706.0,1655706.0,1622591.88,32134 BEACHLAKE LN,WESTLAKE VILLAGE,CA,91361,165.5706
-6431576468101594597,827502.0,827502.0,810951.96,3301 JONQUILFIELD RD,WESTLAKE VILLAGE,CA,91361,82.7502
-3007762000555674752,2169170.0,2169170.0,2125786.6,32704 WELLBROOK DR,WESTLAKE VILLAGE,CA,91361,216.917
651724417037501372,2213558.0,2213558.0,2169286.84,32711 WELLBROOK DR,WESTLAKE VILLAGE,CA,91361,221.3558
6825120051789209009,1909421.0,1909421.0,1871232.58,4418 GUILDHALL CT,WESTLAKE VILLAGE,CA,91361,190.9421
-7882958039124628111,1370568.0,1370568.0,1343156.64,4528 GUILDHALL CT,WESTLAKE VILLAGE,CA,91361,137.0568
-8861758112463129375,1307241.0,1307241.0,1281096.18,3652 EL ENCANTO DR,CALABASAS,CA,91302,130.7241
-5515232526262770731,2594710.0,2594710.0,2542815.8,3910 LEIGHTON POINT RD,CALABASAS,CA,91301,259.471
7131296675366188395,453485.0,453485.0,444415.3,27472 COUNTRY GLEN RD,AGOURA HILLS,CA,91301,45.3485
568104214176133709,1230421.0,1230421.0,1205812.58,4017 COTTONWOOD GROVE TRL,CALABASAS,CA,91301,123.0421
9118605781212340221,1629584.0,1629584.0,1596992.32,4272 VIA MIRA MONTE,CALABASAS,CA,91301,162.9584
7932982714852952984,1402210.0,1402210.0,1374165.8,23024 PARK SORRENTO,CALABASAS,CA,91302,140.221
2861667720322896262,1697058.0,1697058.0,1663116.84,4541 CAMINO DEL SOL,CALABASAS,CA,91302,169.7058
2547982594644342621,1577626.0,1577626.0,1546073.48,3658 REINA CT,CALABASAS,CA,91302,157.7626
7757601539145238933,1083857.0,1083857.0,1062179.8599999999,3547 PANSY DR,CALABASAS,CA,91302,108.3857
-1130639545155700756,1312218.0,1312218.0,1285973.64,23684 VALLEY VIEW RD,CALABASAS,CA,91302,131.2218
-6329032153841175665,1393056.0,1393056.0,1365194.88,4745 DEGOVIA AVE,WOODLAND HILLS,CA,91364,139.3056
